Date,wx_temperature_2m_mean,wx_temperature_2m_max,wx_temperature_2m_min,wx_precipitation_sum,wx_precipitation_hours,wx_snowfall_sum,wx_cloud_cover_mean,wx_wind_speed_10m_max,obs_precip_evening
2024-04-06,9.8,16.6,4.6,0.0,0.0,0.0,68,17.2,0.0
2024-04-07,11.8,20.8,4.1,0.0,0.0,0.0,31,16.6,0.0
2024-04-08,13.3,20.7,6.7,0.0,0.0,0.0,100,9.8,0.0
2024-04-09,12.2,17.5,8.0,0.0,0.0,0.0,13,23.6,0.0
2024-04-10,11.7,17.7,6.2,0.0,0.0,0.0,81,18.7,0.0
2024-04-11,12.8,19.2,8.5,0.5,2.0,0.0,63,13.0,0.0
2024-04-12,14.1,22.5,6.6,0.0,0.0,0.0,13,15.5,0.0
2024-04-13,16.1,26.4,8.6,0.0,0.0,0.0,21,16.7,0.0
2024-04-14,18.0,28.1,9.2,0.0,0.0,0.0,61,15.0,0.0
2024-04-15,14.9,17.7,10.2,19.1,10.0,0.0,95,22.7,0.0
2024-04-16,11.6,15.7,7.3,0.8,5.0,0.0,67,19.0,0.0
2024-04-17,11.9,20.9,6.8,0.0,0.0,0.0,76,16.8,0.0
2024-04-18,14.7,23.5,8.4,0.0,0.0,0.0,3,18.1,0.0
2024-04-19,14.4,21.4,7.1,0.0,0.0,0.0,58,15.0,0.0
2024-04-20,13.1,15.2,11.9,5.7,15.0,0.0,100,20.9,1.0
2024-04-21,15.8,20.6,12.2,0.1,1.0,0.0,99,22.6,0.1
2024-04-22,16.9,23.4,13.3,0.0,0.0,0.0,89,20.0,0.0
2024-04-23,15.5,22.2,10.3,1.2,3.0,0.0,88,24.5,1.2
2024-04-24,12.8,17.4,9.5,12.1,10.0,0.0,79,14.7,0.0
2024-04-25,12.7,19.8,9.5,0.0,0.0,0.0,55,13.5,0.0
2024-04-26,15.1,23.8,8.6,0.0,0.0,0.0,59,14.2,0.0
2024-04-27,15.5,24.4,9.2,0.0,0.0,0.0,20,17.6,0.0
2024-04-28,17.5,26.7,10.3,0.0,0.0,0.0,79,11.8,0.0
2024-04-29,18.0,23.6,13.6,0.0,0.0,0.0,67,19.1,0.0
2024-04-30,16.0,22.2,11.4,0.0,0.0,0.0,97,18.9,0.0
2024-05-01,16.3,22.0,12.3,0.2,2.0,0.0,75,15.3,0.0
2024-05-02,16.1,22.9,9.5,0.0,0.0,0.0,0,18.3,0.0
2024-05-03,17.4,27.8,9.7,0.0,0.0,0.0,6,16.8,0.0
2024-05-04,19.1,27.1,12.0,0.0,0.0,0.0,41,21.0,0.0
2024-05-05,17.2,18.9,14.8,66.8,21.0,0.0,100,22.0,20.5
2024-05-06,13.7,14.6,12.9,6.2,21.0,0.0,100,21.5,0.30000000000000004
2024-05-07,13.1,15.2,11.7,1.9,9.0,0.0,100,22.4,0.0
2024-05-08,13.3,19.5,7.5,0.2,2.0,0.0,32,12.7,0.0
2024-05-09,14.0,19.5,8.1,0.0,0.0,0.0,16,21.4,0.0
2024-05-10,15.1,21.7,8.8,0.0,0.0,0.0,41,19.1,0.0
2024-05-11,15.8,21.6,11.5,16.2,12.0,0.0,79,35.7,10.8
2024-05-12,15.2,21.2,10.2,0.0,0.0,0.0,45,18.7,0.0
2024-05-13,16.0,22.4,10.2,0.0,0.0,0.0,0,18.1,0.0
2024-05-14,16.1,21.9,9.7,0.0,0.0,0.0,4,16.4,0.0
2024-05-15,12.3,18.1,6.6,22.7,11.0,0.0,64,22.0,11.6
2024-05-16,11.6,18.1,6.0,3.4,3.0,0.0,27,19.1,0.0
2024-05-17,15.0,22.1,7.0,0.0,0.0,0.0,49,15.5,0.0
2024-05-18,17.5,24.0,11.3,0.0,0.0,0.0,11,15.3,0.0
2024-05-19,18.1,25.3,11.8,0.0,0.0,0.0,22,14.7,0.0
2024-05-20,17.5,20.9,14.2,2.1,2.0,0.0,76,17.6,0.0
2024-05-21,18.9,25.5,13.8,0.0,0.0,0.0,53,10.4,0.0
2024-05-22,17.8,23.2,14.0,0.0,0.0,0.0,92,15.0,0.0
2024-05-23,17.6,24.0,13.3,0.0,0.0,0.0,48,18.1,0.0
2024-05-24,18.8,24.8,14.0,0.0,0.0,0.0,80,9.2,0.0
2024-05-25,19.9,24.8,17.7,0.0,0.0,0.0,98,16.1,0.0
2024-05-26,18.5,22.5,15.3,7.1,13.0,0.0,99,21.2,1.7
2024-05-27,17.6,22.9,12.6,0.0,0.0,0.0,57,25.2,0.0
2024-05-28,17.8,23.8,11.7,0.0,0.0,0.0,33,18.7,0.0
2024-05-29,18.8,25.5,12.9,0.0,0.0,0.0,34,17.9,0.0
2024-05-30,18.7,23.1,14.0,0.0,0.0,0.0,100,7.6,0.0
2024-05-31,18.7,23.4,13.5,0.3,1.0,0.0,32,21.2,0.3
2024-06-01,19.7,25.8,15.1,1.7,5.0,0.0,41,18.7,0.0
2024-06-02,19.0,26.0,12.3,0.0,0.0,0.0,14,20.2,0.0
2024-06-03,20.6,27.3,13.8,0.0,0.0,0.0,13,17.7,0.0
2024-06-04,21.2,29.3,13.8,0.0,0.0,0.0,9,21.4,0.0
